# X	Y	Z	rgb
54.8583	1.63996	1.22008	12830667
54.5177	1.57845	1.01477	11777461
41.7889	8.64136	6.44346	6384497
46.8773	11.5393	8.37188	9804189
51.7554	0.201452	0.76772	13159884
53.8406	1.24541	1.24764	13291731
57.5533	4.58583	4.5532	6119527
55.6967	9.56913	4.38045	4672333
49.9022	9.9589	4.02147	7106158
57.7935	8.34028	4.55364	4606024
46.062	9.99882	8.0691	5528157
42.3314	8.75972	7.4529	13686235
42.5346	10.0051	7.52075	6778742
53.484	1.22848	0.977597	12303805
54.5252	1.63139	0.995458	13290700
55.8744	2.31853	1.0218	12041403
55.8615	0.703953	1.11005	13948630
54.2785	1.68537	1.17313	13620183
53.959	1.23812	1.21874	13291731
58.1742	2.61676	0.982725	4409415
39.4199	8.08508	6.27969	12437965
41.1609	8.4822	6.39322	4740184
47.43	11.6264	8.26965	13423315
58.6502	7.17547	3.28772	9277845
69.6788	10.0346	3.82217	9014155
55.0183	9.35863	4.33267	3289910
49.7375	9.87822	4.00926	5000782
57.1721	5.99289	4.462	2829359
54.0273	1.30174	1.28087	10923183
57.1909	4.85282	4.59106	2434601
44.5951	10.8112	6.83717	13554388
40.7462	8.39871	6.37139	7108732
41.0265	8.45111	6.84943	12634830
46.5286	11.2651	7.29096	12897741
57.5943	4.16602	4.67982	2765103
59.5937	5.88367	4.7792	7041135
69.5976	10.0549	3.88125	7500916
46.1966	11.5367	4.49661	8092023
58.5554	7.17725	3.33573	9277845
56.5523	6.5324	4.50888	4672333
39.3902	8.06977	6.28382	12437965
55.8134	6.21423	4.52563	2896176
48.1447	11.3725	7.70818	8423565
39.0135	7.99447	6.26084	11845828
43.7682	9.24083	6.67606	14213349
69.5545	9.93328	3.82126	10856105
40.0892	8.21013	6.28682	6121837
44.7894	10.8184	6.92298	13423317
58.7137	7.22946	3.29673	10067107
57.0981	4.92471	4.54049	1974050
46.4499	11.207	7.30382	13621466
55.7485	6.20743	4.47624	2369832
57.3823	4.75757	4.55601	1711396
48.7812	11.588	7.78884	9015186
57.9182	10.3263	4.71056	5461079
57.7923	10.3057	4.51717	13224907
36.7061	10.2533	3.81903	10132636
40.5573	8.19469	6.14186	11252148
58.6375	7.29908	3.23882	11185588
57.1654	10.2131	4.7682	4737610
69.4376	10.0098	3.75076	9079948
57.761	10.32	4.47761	13093321
51.4003	10.5592	4.0847	12830919
55.4913	6.23489	4.45942	1909281
57.099	4.92479	4.54055	1974050
59.9275	7.44687	4.90172	4277323
47.4565	9.18353	4.55462	3750700
58.9617	7.24414	3.25154	10725037
69.2189	9.8127	3.73814	11382449
46.4504	11.8303	4.43694	987927
57.2799	4.82522	4.57419	1645087
57.8587	10.3109	4.86155	3816508
59.5885	5.87814	4.61721	12698563
58.2075	4.20282	4.89027	1120024
57.2237	10.1997	4.84271	3816508
47.2046	9.136	4.51339	3882286
57.2954	4.90736	4.89226	9212052
58.0195	4.13503	4.60893	11515572
57.7299	10.2905	4.56045	11316910
47.1319	9.06712	4.53062	3816743
58.1	8.09703	4.98841	13422034
55.9718	6.25021	4.79209	6580332
57.6313	4.83654	4.88322	9343636
55.7762	9.89501	-0.275853	11581365
51.0318	4.47964	-2.82637	3158324
54.1689	3.43633	-3.01524	5526872
50.3844	4.52207	-2.78041	4277059
54.0097	7.61974	-2.81306	6908525
52.3729	3.93408	-2.9309	7039859
53.0576	4.08675	-2.92653	2631216
56.6369	4.15758	-4.87951	6776679
53.1089	5.79125	-2.84187	8290950
52.1717	7.77691	-2.87668	8356743
53.4187	3.69881	-2.86129	4738126
53.1613	6.83341	-3.01561	6447974
49.7871	4.75975	-2.68743	10791336
60.807	10.3681	-1.98697	5136565
67.5527	9.72882	-2.56355	11316393
52.9138	7.5762	-3.03129	7171697
29.1441	9.25213	-1.34715	6514021
54.6685	3.41128	-2.74974	5133138
32.4172	9.31172	-1.59109	7171951
58.9769	10.8492	-0.269272	13488844
57.0917	6.97899	-2.0905	9737878
39.0326	9.98151	-2.07565	7763574
60.8336	14.1311	0.533656	9079180
54.423	7.14634	-2.80044	7500662
42.6545	9.68398	-2.33274	6119260
50.1633	10.8346	0.231152	12501181
52.837	8.95776	-3.04257	7501432
54.5098	3.43648	-3.03824	4276805
67.8378	9.74258	-2.55363	13158597
57.0392	7.02714	-2.00289	13619665
49.8363	4.71515	-2.63795	1316890
57.1308	6.97371	-2.19715	7632502
49.9808	10.7872	0.186461	13027525
54.1549	3.47472	-2.77575	3159348
50.0599	4.85269	-2.64954	1843747
53.4541	6.54574	-2.89558	2369578
54.8262	7.47708	-2.97168	7567225
54.3838	7.67086	-2.8171	6908525
58.5302	10.7349	-0.262583	13488844
50.6745	4.49835	-2.80984	3026738
53.8221	7.59754	-3.0773	4868944
52.983	6.36581	-2.86721	3093303
60.9048	10.3962	-1.99109	5136565
53.432	6.91591	-2.76831	6974318
52.8889	4.13556	-2.91411	1973286
57.6572	10.5127	-0.376902	5856088
52.6425	7.74191	-2.87265	4342598
52.1639	5.96679	-2.9342	4408393
52.9558	7.9106	-2.89115	3948612
51.3567	10.8948	0.1134	13487825
55.2965	3.36907	-3.0327	2698797
56.7337	10.1622	-0.288373	13752018
52.9368	6.77913	-2.72646	6184802
49.6896	4.77123	-2.62656	2172712
58.5782	10.7295	-0.237185	13488844
54.9733	7.49676	-2.99331	7567225
53.1761	6.5127	-2.88822	2369578
53.9617	7.51552	-3.06556	3487291
67.704	9.73891	-2.48733	12237495
57.0106	7.03713	-2.01438	14080216
57.2418	6.98666	-2.17662	7632502
51.9799	5.86087	-2.89016	1974052
53.3674	6.38427	-2.76355	4605772
54.144	7.15991	-3.01374	4080196
61.0812	10.4254	-1.9856	5136565
52.5384	7.838	-2.88634	8356743
53.4896	3.78202	-2.8334	2829359
38.4052	10.0734	-1.90152	3159345
51.5869	4.44464	-2.82949	1644833
55.472	3.27117	-3.01683	3027759
32.7053	9.4	-3.28778	12897239
52.6024	5.75144	-2.85447	4277577
52.962	6.50397	-3.02744	13027276
50.0571	4.80531	-2.6228	2172712
54.1616	7.46578	-3.00912	3684668
57.267	7.09943	-1.96595	13619411
67.7753	9.73043	-2.52673	14145492
53.0763	6.4252	-2.78525	4277575
53.2667	6.62675	-2.79372	4605770
52.5488	7.86792	-2.80286	4605770
54.9488	7.38666	-3.06632	3224887
51.9799	5.86087	-2.89016	1974052
51.4768	4.42081	-2.80963	1644833
54.3115	8.67527	-3.08091	3816254
54.4863	4.48998	-2.9269	4079426
52.0731	5.81859	-2.89804	1776671
54.1641	7.46611	-3.0093	3684668
67.3066	9.61941	-2.48406	14145492
57.0583	7.03665	-2.0296	14080216
52.802	6.53833	-3.03207	13027276
50.859	4.96551	-2.64144	2106921
49.7438	7.0057	-4.77236	9935254
52.8745	7.9329	-2.80757	4605770
53.3193	6.48929	-2.76636	4277575
52.3595	4.47716	-2.85262	2763566
57.1697	3.27393	-3.09332	3488313
53.7831	8.82911	-3.05539	3816508
55.6797	3.29807	-2.67856	10988722
52.6482	5.77406	-2.86005	4277577
67.2378	9.58217	-2.40707	14145492
57.2748	7.08511	-1.97469	13619411
50.7843	4.95693	-2.5206	6120294
51.8274	6.58127	-3.96295	7697265
57.5125	3.24454	-2.85459	9277843
50.5539	4.93937	-2.85172	11382703
54.5567	8.88545	-3.04891	4803149
53.3193	6.48929	-2.76636	4277575
52.8719	6.43928	-2.97871	12829897
50.4349	4.97687	-2.84233	9737624
56.6605	3.95626	-4.85248	6185056
54.7203	8.8848	-3.06085	4803149
53.3462	5.87065	-2.58893	11712184
44.7542	9.81361	-2.43175	3290161
49.937	5.81385	-3.73547	7566706
51.7145	9.16692	-2.97773	12106172
52.8578	6.59122	-2.97445	12237758
40.9283	9.58982	-2.27747	13553872
50.1227	5.86404	-3.75109	7237227
51.7612	6.59463	-4.0556	6512991
38.3267	2.95336	-8.66308	4606021
38.3599	5.29431	-8.1486	7561287
49.9279	0.639655	-12.3957	5461333
48.4798	1.52119	-12.0916	7632751
35.5949	1.61268	-10.0166	526604
49.8258	0.891176	-12.7683	3948610
38.2519	2.27849	-10.8122	1316120
34.4474	0.291351	-9.27977	3750712
33.0701	1.62955	-8.86329	2698024
33.9729	0.793635	-9.15568	7106928
33.6726	3.68412	-9.3642	3158575
36.5207	0.732424	-9.96952	2369829
38.0509	0.730932	-10.76	1842718
34.2244	2.74802	-9.53166	1974050
35.0248	3.22239	-9.76248	1908511
37.8829	0.500076	-10.58	1316371
40.5543	1.55528	-11.3918	1645336
37.4748	0.279242	-10.5294	5724505
37.4174	0.205726	-10.5141	1316374
34.3912	2.82669	-9.54989	2763820
36.5302	2.40296	-10.2159	1316120
39.9502	1.30343	-11.2871	3158575
37.7463	1.05225	-10.4565	12040633
37.6596	1.05321	-10.4974	2303269
46.5279	1.25305	-11.9513	3750198
34.5966	1.62751	-9.37322	8948359
38.8271	5.37793	-8.26424	7561287
36.4449	2.39365	-8.14203	921611
37.9938	2.93777	-8.59458	4606021
36.2689	2.34453	-8.21642	4276542
51.1432	1.84435	-12.1119	3026987
35.2738	4.02441	-8.33485	4539964
